semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,Unnamed: 8,status
379,Av. Gov. Agamenon Magalhães,Em frente ao Ed.Visgueiro Nº1330,TORREÃO,-8.040896,-34.881825,E/Git,Ocasional/Ped.,1.0,funcionando
380,Av. Domingos Ferreira,Rua Artur Muniz,BOA VIAGEM,-8.104002,-34.888953,E/Git,Veicular,1.0,funcionando
381,Av. Dantas Barreto,Rua Tobias Barreto(Pista Leste),SANTO ANTÔNIO,-8.067750,-34.880055,E/Git,Ocasional/Ped.,1.0,funcionando
382,Av. Dantas Barreto,Rua Tobias Barreto,SANTO ANTÔNIO,-8.067598,-34.880289,E/Git,Veicular,1.0,funcionando
383,Cais de Santa Rita,Av. Martins de Barros,SÃO JOSÉ,-8.067341,-34.875618,E/Git,Veicular,1.0,funcionando
384,Av. Dantas Barreto,Rua Passo da Pátria(Central),SANTO ANTÔNIO,-8.069285,-34.881638,E/Git,Ocasional/Ped.,1.0,funcionando
385,Av. Mascarenhas de Morais,Rua Muritiba,IMBIRIBEIRA,-8.112542,-34.91262,E/Git,Veicular,1.0,funcionando
386,Av. Mascarenhas de Morais,Rua Itacaré,IMBIRIBEIRA,-8.111426,-34.912393,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
387,Av. Beira Rio,Rua José Osório,MADALENA,-8.053042,-34.90473,E/Git,Veic.C/Ped.,1.0,funcionando
388,Av. Beberibe,Av. Cidade do Monteiro,CAJUEIRO,-8.009337,-34.889131,E,Veicular,1.0,funcionando
389,Av. 17 de Agosto,Em frente ao C.P.O.R.,SANTANA,-8.037942,-34.918009,E/Git,Veic.c/Ped.Ocas.,1.0,funcionando
390,Estrada dos Remédios,Rua Tabaiares,ILHA DO RETIRO,-8.065242,-34.908034,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
391,Rua São Miguel,Em frente ao Nº 685,AFOGADOS,-8.080499,-34.912906,E,Ocasional/Ped.,1.0,funcionando
392,Rua São Miguel,Rua do Troley,JIQUIÁ,-8.080911,-34.919408,E,Ocasional/Ped.,1.0,funcionando
393,Av. Recife,Rua Gonçalves Magalhães,VILA DA SUDENE,-8.120308,-34.919456,E/Git,Veicular,1.0,funcionando
394,Estrada Velha do Bongi ,Estrada dos Remédios,BONGI,-8.068958,-34.908466,E,Veic.C/Ped.Paral.,1.0,funcionando
395,Rua Lindolfo Collor,Rua Antônio Curado,ENGENHO DO MEIO,-8.052412,-34.94134,E,Veicular,1.0,funcionando
396,Rua Olívia Menelau,Av. Mascarenhas de Morais,IMBIRIBEIRA,-8.091147,-34.908513,E/Git,Veicular,1.0,funcionando
